2315;Pest;Szigethalom;Mű út 152.;47.466768;19.001984;Hétfő 6:00-20:00|Kedd 6:00-20:00|Szerda 6:00-20:00|Csütörtök 6:00-20:00|Péntek 6:00-20:00|Szombat 6:00-18:00|Vasárnap 6:15-12:15
2315;Pest;Szigethalom;Mű út 152.;47.3226;19.0128;Hétfő 0:00-24:00|Kedd 0:00-24:00|Szerda 0:00-24:00|Csütörtök 0:00-24:00|Péntek 0:00-24:00|Szombat 0:00-24:00|Vasárnap 0:00-24:00
2318;Pest;Szigetszentmárton;Kossuth L. utca 23;47.2303;18.9588;Hétfő 5:00-17:00|Kedd 6:00-19:00|Szerda 16:00-19:00|Csütörtök 6:00-19:00|Péntek 6:00-19:00|Szombat 6:00-14:00|Vasárnap 7:30-11:00
2318;Pest;Szigetszentmárton;Kossuth L. utca 23;47.2285;18.9583;Hétfő 6:00-22:00|Kedd 6:00-22:00|Szerda 6:00-22:00|Csütörtök 6:00-22:00|Péntek 6:00-22:00|Szombat-Zárva-Zárva|Vasárnap-Zárva-Zárva
5600;Békés;Békéscsaba;Október 23 tér 1;46.6763;21.0904;Hétfő 7:30-20:00|Kedd 7:30-20:00|Szerda 7:30-20:00|Csütörtök 7:30-20:00|Péntek 7:30-20:00|Szombat 7:30-20:00|Vasárnap 8:00-16:00
3561;Borsod-Abaúj-Zemplén;Felsőzsolca; Szent István utca 26.;48.1121;20.859;Hétfő 6:00-18:00|Kedd 6:00-18:00|Szerda 6:00-18:00|Csütörtök 6:00-18:00|Péntek 6:00-18:00|Szombat 6:00-18:00|Vasárnap 6:00-18:00
3561;Borsod-Abaúj-Zemplén;Felsőzsolca; Bólyai János utca 6/B fsz/2.;48.1121;20.859;Hétfő 6:00-18:00|Kedd 6:00-18:00|Szerda 6:00-18:00|Csütörtök 6:00-18:00|Péntek 6:00-18:00|Szombat 6:00-18:00|Vasárnap 6:00-18:00
3600;Veszprém;Ózd; Hrsz. 8086/2.;48.2146795;20.270838;Hétfő 5:00-23:00|Kedd 5:00-23:00|Szerda 5:00-23:00|Csütörtök 5:00-23:00|Péntek 5:00-23:00|Szombat 5:00-23:00|Vasárnap 6:00-14:00
3600;Veszprém;Ózd; Piac út 8035/5 hrsz;48.2146795;20.270838;Hétfő 5:00-23:00|Kedd 5:00-23:00|Szerda 5:00-23:00|Csütörtök 5:00-23:00|Péntek 5:00-23:00|Szombat 5:00-23:00|Vasárnap 6:00-14:00
1211;Pest;Budapest;21. ker. Karácsony Sándor utca 10/A.;47.489065;19.259249;Hétfő 05:00-20:30|Kedd 05:00-20:30|Szerda 05:00-20:30|Csütörtök 05:00-20:30|Péntek 05:00-20:30|Szombat 0:00-24:01|Vasárnap 06:00-12:00
1214;Pest;Budapest;21. ker. II. Rákóczi Ferenc utca 142.;47.489065;19.259249;Hétfő 05:00-20:30|Kedd 05:00-20:30|Szerda 05:00-20:30|Csütörtök 05:00-20:30|Péntek 05:00-20:30|Szombat 0:00-24:01|Vasárnap 06:00-12:00
1211;Pest;Budapest;21. ker. II. Rákóczi F. utca 154-170 (Csepel Pláza);47.489065;19.259249;Hétfő 05:00-20:30|Kedd 05:00-20:30|Szerda 05:00-20:30|Csütörtök 05:00-20:30|Péntek 05:00-20:30|Szombat 0:00-24:01|Vasárnap 06:00-12:00
1213;Pest;Budapest;21. ker. Szent László utca 115.;47.489065;19.259249;Hétfő 05:00-20:30|Kedd 05:00-20:30|Szerda 05:00-20:30|Csütörtök 05:00-20:30|Péntek 05:00-20:30|Szombat 0:00-24:01|Vasárnap 06:00-12:00
1212;Pest;Budapest; Szent István út 73.;47.489065;19.259249;Hétfő 05:00-20:30|Kedd 05:00-20:30|Szerda 05:00-20:30|Csütörtök 05:00-20:30|Péntek 05:00-20:30|Szombat 0:00-24:01|Vasárnap 06:00-12:00
1025;Pest;Budapest;02. ker. Törökvész út 87-91.;47.489065;19.259249;Hétfő 05:00-20:30|Kedd 05:00-20:30|Szerda 05:00-20:30|Csütörtök 05:00-20:30|Péntek 05:00-20:30|Szombat 0:00-24:01|Vasárnap 06:00-12:00
1094;Pest;Budapest; Tűzoltó utca 78-80.;47.489065;19.259249;Hétfő 05:00-20:30|Kedd 05:00-20:30|Szerda 05:00-20:30|Csütörtök 05:00-20:30|Péntek 05:00-20:30|Szombat 0:00-24:01|Vasárnap 06:00-12:00
1074;Pest;Budapest; Dohány utca 47.;47.489065;19.259249;Hétfő 05:00-20:30|Kedd 05:00-20:30|Szerda 05:00-20:30|Csütörtök 05:00-20:30|Péntek 05:00-20:30|Szombat 0:00-24:01|Vasárnap 06:00-12:00
1061;Pest;Budapest; Jókai tér 8.;47.489065;19.259249;Hétfő 05:00-20:30|Kedd 05:00-20:30|Szerda 05:00-20:30|Csütörtök 05:00-20:30|Péntek 05:00-20:30|Szombat 0:00-24:01|Vasárnap 06:00-12:00
1032;Pest;Budapest; Bécsi út 88-90.;47.489065;19.259249;Hétfő 05:00-20:30|Kedd 05:00-20:30|Szerda 05:00-20:30|Csütörtök 05:00-20:30|Péntek 05:00-20:30|Szombat 0:00-24:01|Vasárnap 06:00-12:00
1137;Pest;Budapest; Radnóti Miklós utca 38.;47.489065;19.259249;Hétfő 05:00-20:30|Kedd 05:00-20:30|Szerda 05:00-20:30|Csütörtök 05:00-20:30|Péntek 05:00-20:30|Szombat 0:00-24:01|Vasárnap 06:00-12:00
8707;Somogy;Libickozma;Fő utca 63/A;46.5309;17.5727;Hétfő 6:00-21:00|Kedd 6:00-21:00|Szerda 6:00-21:00|Csütörtök 6:00-21:00|Péntek 6:00-21:00|Szombat 6:00-21:00|Vasárnap 7:00-21:00
3369;Heves;Tarnabod;Petőfi S. utca 16.;47.685;20.2288;Hétfő 6:00-20:00|Kedd 0:00-0:00|Szerda 6:00-20:00|Csütörtök 6:00-20:00|Péntek 6:00-20:00|Szombat 6:00-20:00|Vasárnap 6:00-20:00
3873;Borsod-Abaúj-Zemplén;Garadna;Fő út 55.;48.4169;21.1742;Hétfő 7:00-21:00|Kedd 7:00-21:00|Szerda 7:00-21:00|Csütörtök 7:00-21:00|Péntek 7:00-21:00|Szombat 7:00-21:00|Vasárnap 7:00-21:00
3873;Borsod-Abaúj-Zemplén;Garadna;Fő út 55.;48.4169;21.1742;Hétfő 7:00-21:00|Kedd 7:00-21:00|Szerda 7:00-21:00|Csütörtök 7:00-21:00|Péntek 7:00-21:00|Szombat 7:00-21:00|Vasárnap 7:00-21:00
